start_time;ID;start;end;code;group;text;code2;R;G;B
2016-04-20 18:01:49.97 +0200;713;1598,178418;1612,066388;R3 NEC;Naar speler;gAAAAABYrzOV480wTxDfCbd7Sp-G43RrUaiN-P6lTlpbvkbdcQEBozodlqHbdZaTAz5AAo3Qy3gBGIEOblBukXghi83hXGsnog==;;;;
2016-04-20 18:01:49.97 +0200;713;1598,178418;1612,066388;R3 NEC;Van speler;gAAAAABYrzOVCCPx_WsUH743GXzaKKwsNnlOqp1L2TXe6puTepjd6fznP9YZbhpTsL0b5OHOlFcjKMAlRKefSRvTDEFb0mzA5Q==;;;;
2016-04-20 18:01:49.97 +0200;713;1598,178418;1612,066388;R3 NEC;Rendement;Foul TEG;;;;
2016-04-20 18:01:49.97 +0200;714;1598,650432;1599,650432;Start;;;;;;
2016-04-20 18:01:49.97 +0200;715;1598,802159;1618,066388;gAAAAABYrzOV480wTxDfCbd7Sp-G43RrUaiN-P6lTlpbvkbdcQEBozodlqHbdZaTAz5AAo3Qy3gBGIEOblBukXghi83hXGsnog==;Van speler;gAAAAABYrzOVCCPx_WsUH743GXzaKKwsNnlOqp1L2TXe6puTepjd6fznP9YZbhpTsL0b5OHOlFcjKMAlRKefSRvTDEFb0mzA5Q==;;;;
2016-04-20 18:01:49.97 +0200;715;1598,802159;1618,066388;gAAAAABYrzOV480wTxDfCbd7Sp-G43RrUaiN-P6lTlpbvkbdcQEBozodlqHbdZaTAz5AAo3Qy3gBGIEOblBukXghi83hXGsnog==;Rendement;Foul TEG;;;;
2016-04-20 18:01:49.97 +0200;716;1600,738299;1610,802159;gAAAAABYrzOVCCPx_WsUH743GXzaKKwsNnlOqp1L2TXe6puTepjd6fznP9YZbhpTsL0b5OHOlFcjKMAlRKefSRvTDEFb0mzA5Q==;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;716;1600,738299;1610,802159;gAAAAABYrzOVCCPx_WsUH743GXzaKKwsNnlOqp1L2TXe6puTepjd6fznP9YZbhpTsL0b5OHOlFcjKMAlRKefSRvTDEFb0mzA5Q==;Naar speler;gAAAAABYrzOV480wTxDfCbd7Sp-G43RrUaiN-P6lTlpbvkbdcQEBozodlqHbdZaTAz5AAo3Qy3gBGIEOblBukXghi83hXGsnog==;;;;
2016-04-20 18:01:49.97 +0200;717;1604,802424;1614,802424;Foul TEG;Rendement;Foul TEG;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Naar speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Naar zone;M4 NEC;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Van speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;718;1635,94533;1659,746275;NEC;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;719;1637,918527;1662,482435;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;719;1637,918527;1662,482435;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;Naar zone;M4 NEC;;;;
2016-04-20 18:01:49.97 +0200;719;1637,918527;1662,482435;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Naar speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Naar zone;M4 NEC;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Van speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;720;1637,94533;1659,746275;Aanvallen;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;721;1638,94533;1639,94533;Start;;;;;;
2016-04-20 18:01:49.97 +0200;722;1640,046546;1655,84596;M3 NEC;Naar speler;gAAAAABYrzOVWi8GdLvd-5xZ_G-9dQqG8h0SA_W0kf04F-C2TwszbTCsmjXCYWOuRVf6xZNUibzeNH4iI3GJqysaKvXtLnju9Q==;;;;
2016-04-20 18:01:49.97 +0200;722;1640,046546;1655,84596;M3 NEC;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;722;1640,046546;1655,84596;M3 NEC;Naar zone;M4 NEC;;;;
2016-04-20 18:01:49.97 +0200;723;1643,978382;1663,978382;Doelpoging NEC;Rendement;Doelpoging;;;;
2016-04-20 18:01:49.97 +0200;724;1647,182184;1662,182184;Vrije trap NEC;Naar zone;M4 NEC;;;;
2016-04-20 18:01:49.97 +0200;724;1647,182184;1662,182184;Vrije trap NEC;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
